id,title,category,tag,keywords,audio_url,description,published
FILLIT_追加_梅雨_se_ストーンpt02,ピュワ,UI・操作,"エフェクト,解説動画向け","笛,戻る",assets/sounds/FILLIT_追加_梅雨_se_ストーンpt02.mp3,変更操作,TRUE
FILLIT_追加_梅雨_se_ストーンpt03,ススッ,UI・操作,"エフェクト,解説動画向け","移動,変更",assets/sounds/FILLIT_追加_梅雨_se_ストーンpt03.mp3,変更操作,TRUE
FILLIT_追加_梅雨_se_移動pt01,ビュワ,生活・日常,"エフェクト,解説動画向け,生活・日常向け","傘,傘開く",assets/sounds/FILLIT_追加_梅雨_se_移動pt01.mp3,傘,TRUE
FILLIT_追加_梅雨_se_移動pt02,ピョル,UI・操作,"エフェクト,解説動画向け","移動,変更",assets/sounds/FILLIT_追加_梅雨_se_移動pt02.mp3,変更操作,TRUE
FILLIT_追加_梅雨_se_移動pt03,ぴょんぴょん,自然・環境,"RPGゲーム向け,生活・日常向け","カエル,ウサギ,ジャンプ",assets/sounds/FILLIT_追加_梅雨_se_移動pt03.mp3,ジャンプ,TRUE
FILLIT_se_ok_01,ホロリン,UI・操作,"エフェクト,解説動画向け","柔らかい,決定音",assets/sounds/FILLIT_se_ok_01.mp3,やわらかい決定音,TRUE
FILLIT_se_ok_02,ピロ～ン,UI・操作,"エフェクト,解説動画向け","柔らかい,決定音",assets/sounds/FILLIT_se_ok_02.mp3,やわらかい決定音,TRUE
FILLIT_se_ok_03,ホロリン,UI・操作,"エフェクト,解説動画向け","柔らかい,決定音",assets/sounds/FILLIT_se_ok_03.mp3,やわらかい決定音,TRUE
FILLIT_se_ok_04,ジュワ～ン,UI・操作,"エフェクト,解説動画向け","柔らかい,決定音",assets/sounds/FILLIT_se_ok_04.mp3,やわらかい決定音,TRUE
FILLIT_se_ok_05,ジャララ～ン,UI・操作,"エフェクト,解説動画向け","柔らかい,決定音",assets/sounds/FILLIT_se_ok_05.mp3,やわらかい決定音,TRUE
FILLIT_se_pown_move,チッ,UI・操作,"エフェクト,解説動画向け","移動,変更",assets/sounds/FILLIT_se_pown_move.mp3,変更操作,TRUE
FILLIT_se_pown_move01,トン,UI・操作,"エフェクト,解説動画向け","移動,変更",assets/sounds/FILLIT_se_pown_move01.mp3,変更操作,TRUE
FILLIT_se_stone_move_01,シュッ,UI・操作,"エフェクト,解説動画向け","移動,変更",assets/sounds/FILLIT_se_stone_move_01.mp3,変更操作,TRUE
FILLIT_se_stone_move_02,ザッ,UI・操作,"エフェクト,解説動画向け","移動,変更",assets/sounds/FILLIT_se_stone_move_02.mp3,変更操作,TRUE
FILLIT_se_tap_select,カチッ,UI・操作,"エフェクト,解説動画向け","移動,変更",assets/sounds/FILLIT_se_tap_select.mp3,変更操作,TRUE
